"Method";"Mean_RD";"Nb_itt";"Coverage_rate";"MC_CR";"CI_width";"P_025_CIW";"P_975_CIW";"MC_CIW";"Bias_Mean";"MC_bias";"Bias_relative_Mean";"MC_RelativeBias";"Emp_SE";"ModSE";"RE_SE";"MC_RESE";"Scenario";"k";"m";"icc";"nb_cov_indiv";"nb_cov_clus";"Prevalence";"Convergence_rate"
"CL_GC_indv";0,0959199287036651;1000;93,8;0,00762600813007697;0,470688672669409;0,357881371502518;0,576693226620285;0,00177712097585715;-0,00408007129633484;0,00363309115945732;-4,08007129633484;0,0378982823611223;0,114888430109071;0,113240050224048;-1,43476578403762;2,20513174165716;3;10;15;0,2;3;2;"0.5/0.4";100
"CL_GC_both";0,0947458186733615;999;91,6916916916917;0,00873249912278393;0,472447583017653;0,309793281361719;0,681090907409083;0,00279745274623574;-0,00525418132663847;0,00388385936798173;-5,25418132663847;0,0410261353967001;0,122756992577487;0,114820008638819;-6,46560637566799;2,09370597889372;3;10;15;0,2;3;2;"0.5/0.4";99,9
"CL_GC_indep_indv";0,0953648574364596;1000;93;0,00806845710157772;0,494325233864641;0,343373653881158;0,658377484513059;0,00244531106278295;-0,00463514256354041;0,00381004568224298;-4,63514256354042;0,0399792086248569;0,12048422345178;0,119523445738304;-0,797430307429514;2,21943855848378;3;10;15;0,2;3;2;"0.5/0.4";100
"CL_GC_indep_both";0,0950220311948553;1000;90,4;0,00931579304192617;0,484267455998319;0,307288773708811;0,753381969392617;0,0034178840307138;-0,00497796880514466;0,00404715083872805;-4,97796880514466;0,0426208199901566;0,127982146846414;0,11852958702277;-7,38584252301072;2,07214960864453;3;10;15;0,2;3;2;"0.5/0.4";100
"CL_TMLE_indv";0,088861357602883;1000;92,9;0,00812151463706124;0,438251116508187;0,339498286989139;0,537837117267476;0,00164506345950901;-0,011138642397117;0,00359974540975931;-11,138642397117;0,0406626825902791;0,113833944915755;0,105031214804465;-7,73295708745305;2,06421906507251;3;10;15;0,2;3;2;"0.5/0.4";100
"CL_TMLE_both";0,0884128182923437;1000;88,4;0,0101264011376204;0,411937319962683;0,282075885975092;0,554751493756804;0,00215631620017676;-0,0115871817076563;0,00386135247272153;-11,5871817076563;0,0438277184816339;0,122106686625232;0,0993700152199665;-18,6203327873834;1,82066321223227;3;10;15;0,2;3;2;"0.5/0.4";100
"CL_TMLE_APS_Balzer";0,0929447755746906;1000;91,5;0,00881901355027874;0,427592177880777;0,308536303511241;0,545702453659226;0,00188792621845518;-0,00705522442530934;0,00382897217246107;-7,05522442530935;0,0412566362662748;0,1210827316238;0,10274911629886;-15,1413955392927;1,89848389064367;3;10;15;0,2;3;2;"0.5/0.4";100
"CL_TMLE_APS_indv_Balzer";0,0941539421683317;1000;93,6;0,0077397674383666;0,445958147898677;0,341610651276626;0,551824173893108;0,00168266921227053;-0,00584605783166825;0,00364122034659949;-5,84605783166826;0,0387172577584775;0,115145497578021;0,106885989626566;-7,17310544066936;2,07674648864356;3;10;15;0,2;3;2;"0.5/0.4";100
"CL_UN";0,118993014363594;1000;93,9;0,00756828910652864;0,42048520917743;0,348271636960274;0,466818369855313;0,000979781708753957;0,0189930143635942;0,00320059809321911;18,9930143635942;0,0275604356113555;0,101211798493643;0,100342616893987;-0,858774977416032;2,21798562749508;4;10;200;0,2;3;2;"0.5/0.4";100
"CL_TSP_Gauss";0,0889830651033965;1000;94,4;0,00727076337120113;0,385764237596126;0,304993172070777;0,443954381415533;0,00114882315798705;-0,0110169348966035;0,00291387842824606;-11,0169348966035;0,0329314232817556;0,0921449265808908;0,0913883705041396;-0,821050170447568;2,21883225063397;4;10;200;0,2;3;2;"0.5/0.4";100
